"id";"question";"option_one";"option_two";"option_three";"option_four";"correct_answer";"certificate_type"
271;"In a risk-based approach the risks identified may be used to :
i. Determine the test technique to be employed
ii. Determine the extent of testing to be carried out
iii. Prioritize testing in an attempt to find critical defects as early as possible.
iv. Determine the cost of the project";"A. ii is True; i, iii, iv & v are False";"B. i,ii,iii are true and iv is false";"C. ii & iii are True; i, iv are False";"D. ii, iii & iv are True; i is false";2;
272;"Incidents would not be raised against:";"A. Requirements";"B. Documentation";"C. Test cases";"D. Improvements suggested by users";4;
273;"The Planning phase of a formal review includes the following :";"A. Explaining the objectives";"B. Selecting the personnel, allocating roles.";"C. Follow up";"D. Individual Meeting preparations";2;
274;"Test Implementation and execution has which of the following major tasks?
i. Developing and prioritizing test cases, creating test data, writing test procedures and 
optionally preparing the test harnesses and writing automated test scripts.
ii. Creating the test suite from the test cases for efficient test execution.
iii. Verifying that the test environment has been set up correctly.
iv. Determining the exit criteria.";"A. i,ii,iii are true and iv is false";"B. i,,iv are true and ii is false";"C. i,ii are true and iii,iv are false";"D. ii,iii,iv are true and i is false";1;
275;"One of the fields on a form contains a text box which accepts numeric values in 
the range of 18 to 25. Identify the invalid Equivalance class";"A. 17";"B. 19";"C. 24";"D. 21";1;
276;"Exhaustive Testing is";"A. Is impractical but possible";"B. Is practically possible";"C. Is impractical and impossible";"D. Is always possible";1;
277;"Hand over of Testware is a part of which Phase";"A. Test Analysis and Design";"B. Test Planning and control";"C. Test Closure Activities";"D. Evaluating exit criteria and reporting";3;
278;"Which one is not comes under international standard";"A. IEC";"B. IEEE";"C. ISO";"D. All of the above";2;
279;"In which phase static tests are used";"A. Requirements";"B. Design";"C. Coding";"D. All of the above";4;
280;"What's the disadvantage of Black Box Testing";"A. Chances of having repetition of tests that are already done by programmer.";"B. The test inputs needs to be from large sample space.";"C. It is difficult to identify all possible inputs in limited testing time. So writing test cases is
slow and difficult";"D. All above";4;
281;"Static analysis tools are typically used by";"A. Testers";"B. Developers";"C. Testers & Developers";"D. None";2;
282;"Majority of system errors occur in the _________ phase";"A. Requirements Phase.";"B. Analysis and Design Phase";"C. Development Phase";"D. Testing Phase";1;
283;"The specification which describes steps required to operate the system and 
exercise test cases in order to implement the associated test design";"A. Test Case Specification";"B. Test Design Specification";"C. Test Procedure Specification";"D. None";3;
284;"How much percentage of the life cycle costs of a software are spent on 
maintenance.";"A. 10%";"B. 30%";"C. 50%";"D. 70%";4;
285;"When a defect is detected and fixed then the software should be retested to 
confirm that the original defect has been successfully removed. This is called";"A. Regression testing";"B. Maintenance testing";"C. Confirmation testing";"D. None of the above";3;
286;"Equivalence testing divides the input domain into classes of data from which 
test cases can be derived to reduce the total number of test cases that must be 
developed.";"A. True";"B. False";;;1;
287;"When to stop Testing?";"A. Stop when scheduled time for testing expires";"B. Stop if 75% of the pre-defined number of errors is detected.";"C. Stop when all the test cases execute with detecting few errors.";"D. None above";1;
288;"With thorough testing it is possible to remove all defects from a program prior 
to delivery to the customer.";"A. True";"B. False";;;2;
289;"Structure is unknown for which type of development project";"A. Traditional system development";"B. Iterative development";"C. System maintenance";"D. Purchased/contracted software";4;
290;"________indicates how important it is to fix the bug and when it should be 
fixed";"A. Severity";"B. Priority";"C. All of the above";"D. None of the above";3;
291;"The person who leads the review of the document(s), planning the 
review,running the meeting and follow-up after the meeting";"A. Reviewer";"B. Author";"C. Moderator";"D. Auditor";3;
292;"Performs sufficient testing to evaluate every possible path and condition in the 
application system. The only test method that guarantees the proper functioning of the 
application system is called as _____________";"A. Regression Testing";"B. Exhaustive Testing";"C. Basic Path Testing";"D. Branch Testing";3;
293;"Quality Assurance is the process by which product quality is compared with the 
application standards and the action taken when nonconformance is detected.";"A. True";"B. False";;;1;
294;"A formal assessment of a work product conducted by one or more qualified 
independent reviewer to detect defects.";"A. Inspection.";"B. Walkthrough.";"C. Review";"D. Non Conformance";1;
295;"Test Case are grouped into Manageable (and scheduled) units are called as";"A. Test Harness";"B. Test Suite";"C. Test Cycle";"D. Test Driver";2;
296;"Configuration and compatibility testing are typically good choices for 
outsourcing";"A. True";"B. False";;;1;
297;"What type of tools to be used for Regression Testing";"A. Performance";"B. Record/Playback";"C. A. & B.";"D. None";2;
298;"System Integration testing should be done after";"A. Integration testing";"B. System testing";"C. Unit testing";"D. Component integration testing";3;
299;"During this event the entire system is tested to verify that all functional 
information structural and quality requirements have been met. A predetermined 
combination of tests is designed that when executed successfully satisfy management 
that the system meets specifications";"A. Validation Testing";"B. Integration Testing";"C. User Acceptance Testing";"D. System Testing";3;
300;"What is the normal order of activities in which software testing is organized?";"A. Unit, integration, system, validation";"B. System, integration, unit, validation";"C. Unit, integration, validation, system";"D. None of the above";1;
301;"The goal of a software tester is to find bugs, find them as early as possible and 
make sure they get fixed.";"A. True";"B. False";;;1;
302;"Beta testing is performed at developing organization's site where as Alpha 
testing is performed by people at their own locations.";"A. True";"B. False";;;2;
303;"The principal attributes of tools and automation are";"A. Speed & efficiency";"B. Accuracy & precision";"C. All of the above";"D. None of the above";3;
304;"In ______ testing doesn't know anything about the sofware being tested; it just 
clicks or types randomly.";"A. Random testing";"B. Gorilla testing";"C. Adhoc testing";"D. Dumb monkey testing";4;
305;"A series of probing questions about the completeness and attributes of an 
application system is called";"A. Checklist";"B. Checkpoint review";"C. Decision table";"D. Decision tree";1;
306;"The testing technique that requires devising test cases to demonstrate that 
each program function is operational is called";"A. Black-box testing";"B. Glass-box testing";"C. Grey-box testing";"D. White-box testing";3;
307;"A white box testing technique that measures the number of or percentage of 
decision directions executed by the test case designed is called";"A. Condition coverage";"B. Decision/Condition coverage";"C. Decision Coverage";"D. Branch coverage";2;
308;"Which summarizes the testing activities associated with one or more test design 
specifications.";"A. Test Summary report";"B. Test Log";"C. Test Incident Report";"D. Test Script";3;
309;"Testing with out a real plan and test cases is called";"A. Gorilla testing";"B. Monkey testing";"C. Adhoc testing";"D. All of the above";4;
310;"Which rule should not be followed for reviews";"A. Defects and issues are identified and corrected";"B. The product is reviewed not the producer";"C. All members of the reviewing team are responsible for the result of the review";"D. Each review has a clear predefined objective";3;
311;"Verification can be termed as 'Are we building the product right?""";"A. True";"B. False";;;1;
312;"Which testing is used to verify that the system can perform properly when 
internal program or system limitations have been exceeded";"A. Stress Testing";"B. Load Testing";"C. Performance Testing";"D. Volume testing";1;
313;"Defects are recorded into three major purposes. They are:
1.To correct the defect
2.To report status of the application
3.To improve the software development process";"A. True";"B. False";;;1;
314;"Drivers are tools used to control and operate tge software being testeD.";"A. True";"B. False";;;1;
315;"Typical defects discovered by static analysis includes";"A. Programming standard violations";"B. Referring a variable with an undefined value";"C. Security vulnerabilities";"D. All Above";3;
316;"EULA stands for";"A. End Usability License Agreement";"B. End User License Agreement";"C. End User License Arrangement";"D. End User License Attachment";2;
317;"________is a very early build intended for limited distribution to a few key 
customers and to marketing for demonstration purposes.";"A. Alpha release";"B. Beta release";"C. Test release document";"D. Build";2;
318;"CAST stands for";"A. Computer Aided Software Testing";"B. Computer Aided Software Tools";"C. Computer Analysis Software Techniques";"D. None";1;
319;"The tool modifies the program code or manipulates tge operating environment 
in any way is considered non-invasive";"A. True";"B. False";;;2;
320;"Which test may not mimic real world situations";"A. Functional testing";"B. Structural Testing";"C. All of the above";"D. None of the above";2;
321;" _______ includes both Black box and White Box Testing features";"A. Gray Box Testing";"B. Hybrid Testing";"C. A. & B.";"D. None";1;
322;"Exhaustive testing is possible";"A. True";"B. False";;;2;
323;"Tool which stores requirement statements, check for consistency and allow 
requirements to be prioritized and enable individual tests to be traceable to 
requirements, functions and features.";"A. Incident management tools";"B. Requirements management tools";"C. Configuration management tools";"D. None";2;
324;"The number of tests to test all control statements equals the cyclomatic 
complexity";"A. True";"B. False";;;1;
325;"Boundary value analysis can only be used during white-box testing.";"A. True";"B. False";;;2;
326;"Which of these are objectives for software testing?";"A. Determine the productivity of programmers";"B. Eliminate the need for future program maintenance";"C. Eliminate every error prior to release";"D. Uncover software errors";4;
327;"Failure is _________";"A. Incorrect program behaviour due to a fault in the program";"B. Bug found before product Release";"C. Bug found after product Release";"D. Bug found during Design phase";1;
328;"During the software development process, at what point can the test process 
start?";"A. When the code is complete.";"B. When the design is complete.";"C. When the software requirements have been approved.";"D. When the first code module is ready for unit testing";3;
329;"""How much testing is enough?""";"A. This question is impossible to answer";"B. This question is easy to answer";"C. The answer depends on the risk for your industry, contract and special requirements";"D. This answer depends on the maturity of your developers";3;
330;"Which of the following tools would be involved in the automation of regression 
test?";"A. Data tester";"B. Boundary tester";"C. Capture/Playback";"D. Output comparator.";3;
331;"Incorrect form of Logic coverage is:";"A. Statement Coverage";"B. Pole Coverage";"C. Condition Coverage";"D. Path Coverage";2;
332;"Code Coverage is used as a measure of what?";"A. Defects";"B. Trends analysis";"C. Test Effectiveness";"D. Time Spent Testing";3;
333;"Fault Masking is";"A. Error condition hiding another error condition";"B. Creating a test case which does not reveal a fault";"C. Masking a fault by developer";"D. Masking a fault by a tester";1;
334;"Which of the following is not a quality characteristic listed in ISO 9126 
Standard?";"A. Functionality";"B. Usability";"C. Supportability";"D. Maintainability";3;
335;"One Key reason why developers have difficulty testing their own work is :";"A. Lack of technical documentation";"B. Lack of test tools on the market for developers";"C. Lack of training";"D. Lack of Objectivity";4;
336;"Statement Coverage will not check for the following.";"A. Missing Statements";"B. Unused Branches";"C. Dead Code";"D. Unused Statement";1;
337;"Given the Following program
IF X <>= Z
THEN Statement 2;
END
McCabeﾒs Cyclomatic Complexity is :";"A. 2";"B. 3";"C. 4";"D. 5";2;
338;"To test a function, the programmer has to write a _________, which calls the 
function to be tested and passes it test data.";"A. Stub";"B. Driver";"C. Proxy";"D. None of the above";2;
339;"Pick the best definition of quality";"A. Quality is job one";"B. Zero defects";"C. Conformance to requirements";"D. Work as designed";3;
340;"Boundary value testing";"A. Is the same as equivalence partitioning tests";"B. Test boundary conditions on, below and above the edges of input and output equivalence 
classes";"C. Tests combinations of input circumstances";"D. Is used in white box testing strategy";2;
341;"An input field takes the year of birth between 1900 and 2004
The boundary values for testing this field are";"A. 0,1900,2004,2005";"B. 1900, 2004";"C. 1899,1900,2004,2005";"D. 1899, 1900, 1901,2003,2004,2005";3;
342;"How many test cases are necessary to cover all the possible sequences of 
statements (paths) for the following program fragment? Assume that the two conditions 
are independent of each other:
if (Condition 1)
then statement 1
else statement 2
fi
if (Condition 2)
then statement 3
fi";"A. 2 Test Cases";"B. 3 Test Cases";"C. 4 Test Cases";"D. Not achievable";1;
343;"A common test technique during component test is";"A. Statement and branch testing";"B. Usability testing";"C. Security testing";"D. Performance testing";1;
344;"In a review meeting a moderator is a person who";"A. Takes minutes of the meeting";"B. Mediates between people";"C. Takes telephone calls";"D. Writes the documents to be reviewed";2;
345;"Acceptance test cases are based on what?";"A. Requirements";"B. Design";"C. Code";"D. Decision table";1;
346;"Which one of the following are non-functional testing methods?";"A. System testing";"B. Usability testing";"C. Performance testing";"D. Both B & C";4;
347;"Independent Verification & Validation is";"A. Done by the Developer";"B. Done by the Test Engineers";"C. Done By Management";"D. Done by an Entity Outside the Projectﾒs sphere of influence";4;
348;"Defect Management process does not include";"A. Defect prevention";"B. Deliverable base-lining";"C. Management reporting";"D. None of the above";2;
349;"Which of the following could be a reason for a failure
1) Testing fault
2) Software fault
3) Design fault
4) Environment Fault
5) Documentation Fault";"A. 2 is a valid reason; 1,3,4 & 5 are not";"B. 1,2,3,4 are valid reasons; 5 is not";"C. 1,2,3 are valid reasons; 4 & 5 are not";"D. All of them are valid reasons for failure";4;
350;"Test are prioritized so that:";"A. You shorten the time required for testing";"B. You do the best testing in the time available";"C. You do more effective testing";"D. You find more faults";2;
351;"When a new testing tool is purchased, it should be used first by:";"A. A small team to establish the best way to use the tool";"B. Everyone who may eventually have some use for the tool";"C. The independent testing team";"D. The vendor contractor to write the initial scripts";1;
352;"During which test activity could faults be found most cost effectively?";"A. Execution";"B. Design";"C. Planning";"D. Check Exit criteria completion";3;
353;"What is the difference between testing software developed by contractor 
outside your country, versus testing software developed by a contractor within your 
country?";"A. Does not meet people needs";"B. Cultural difference";"C. Loss of control over reallocation of resources";"D. Relinquishments of control";2;
354;"The inputs for developing a test plan are taken from";"A. Project plan";"B. Business plan";"C. Support plan";"D. None of the above";1;
355;"To test a function, the programmer has to write a ______, which calls the 
function and passes it the test data.";"A. Stub";"B. Driver";"C. Proxy";"D. None of the above";2;
356;"Which of the following is not a static testing technique";"A. Error guessing";"B. Walkthrough";"C. Data flow analysis";"D. Inspections";1;
357;"Which of the following statements about component testing is not true?";"A. Component testing should be performed by development";"B. Component testing is also know as isolation or module testing";"C. Component testing should have completion criteria planned";"D. Component testing does not involve regression testing";4;
358;"Inspections can find all the following except";"A. Variables not defined in the code";"B. Spelling and grammar faults in the documents";"C. Requirements that have been omitted from the design documents";"D. How much of the code has been covered";4;
359;"Which of the following is not a characteristic for Testability?";"A. Operability";"B. Observability";"C. Simplicity";"D. Robustness";4;
360;"Software testing accounts to what percent of software development costs?";"A. 10-20";"B. 40-50";"C. 70-80";"D. 5-10";2;
361;"Equivalence partitioning is:";"A. A black box testing technique used only by developers";"B. A black box testing technique than can only be used during system testing";"C. A black box testing technique appropriate to all levels of testing";"D. A white box testing technique appropriate for component testing";3;
362;"If an expected result is not specified then:";"A. We cannot run the test";"B. It may be difficult to repeat the test";"C. It may be difficult to determine if the test has passed or failed";"D. We cannot automate the user inputs";3;
363;"How much testing is enough";"A. This question is impossible to answer";"B. The answer depends on the risks for your industry, contract and special requirements";"C. The answer depends on the maturity of your developers";"D. The answer should be standardized for the software development industry";2;
364;"The purpose of requirement phase is";"A. To freeze requirements";"B. To understand user needs";"C. To define the scope of testing";"D. All of the above";4;
365;"Which of these can be successfully tested using Loop Testing methodology?";"A. Simple Loops";"B. Nested Loops";"C. Concatenated Loops";"D. All of the above";4;
366;"Cyclomatic Complexity method comes under which testing method.";"A. White box";"B. Black box";"C. Green box";"D. Yellow box";1;
367;"A reliable system will be one that:";"A. Is unlikely to be completed on schedule";"B. Is unlikely to cause a failure";"C. Is likely to be fault-free";"D. Is likely to be liked by the users";2;
368;"Which, in general, is the least required skill of a good tester?";"A. Being diplomatic";"B. Able to write software";"C. Having good attention to detail";"D. Able to be relied on";2;
369;"A regression test:";"A. Will always be automated";"B. Will help ensure unchanged areas of the software have not been affected";"C. Will help ensure changed areas of the software have not been affected";"D. Can only be run during user acceptance testing";2;
370;"Function/Test matrix is a type of";"A. Interim Test report";"B. Final test report";"C. Project status report";"D. Management report";3;
371;"The process starting with the terminal modules is called:";"A. Top-down integration";"B. Bottom-up integration";"C. None of the above";"D. Module integration";2;
372;"Verification is:";"A. Checking that we are building the right system";"B. Checking that we are building the system right";"C. Performed by an independent test team";"D. Making sure that it is what the user really wants";2;
373;"The difference between re-testing and regression testing is";"A. Re-testing is running a test again; regression testing looks for unexpected side effects";"B. Re-testing looks for unexpected side effects; regression testing is repeating those tests";"C. Re-testing is done after faults are fixed; regression testing is done earlier";"D. Re-testing uses different environments, regression testing uses the same environment";1;
374;"Testing should be stopped when:";"A. All the planned tests have been run";"B. It depends on the risks for the system being tested";"C. All faults have been fixed correctly";"D. Both A. and C.";2;
375;"Which of the following is the main purpose of the integration strategy for 
integration testing in the small?";"A. To ensure that all of the small modules are tested adequately";"B. To ensure that the system interfaces to other systems and networks";"C. To specify which modules to combine when and how many at once";"D. To ensure that the integration testing can be performed by a small team";3;
376;"Which of the following is NOT part of configuration management:";"A. Status accounting of configuration items";"B. Auditing conformance to ISO9001";"C. Identification of test versions";"D. Record of changes to documentation over time";2;
377;"Regression testing should be performed:
v) Every week
w) After the software has changed
x) As often as possible
y) When the environment has changed
z) Wwhen the project manager says";"A. v & w are true, x ﾖ z are false";"B. w, x & y are true, v & z are false";"C. w & y are true, v, x & z are false";"D. w is true, v, x y and z are false";3;
378;"A tool that supports traceability, recording of incidents or scheduling of tests is 
called:";"A. A dynamic analysis tool";"B. A test execution tool";"C. A debugging tool";"D. A configuration management tool";4;
379;"The cost of fixing a fault:";"A. Is not important";"B. Increases as we move the product towards live use";"C. Decreases as we move the product towards live use";"D. Is more expensive if found in requirements than functional design";2;
380;"Order numbers on a stock control system can range between 10000 and 99999 
inclusive. Which of the following inputs might be a result of designing tests for only 
valid equivalence classes and valid boundaries:";"A. 1000, 5000, 99999";"B. 9999, 50000, 100000";"C. 10000, 50000, 99999";"D. 10000, 99999";3;
381;"When what is visible to end-users is a deviation from the specific or expected 
behavior, this is called:";"A. An error";"B. A fault";"C. A failure";"D. A defect";3;
382;"Which expression best matches the following characteristics or review 
processes:
1. Led by author
2. Undocumented
3. No management participation
4. Led by a trained moderator or leader
5. Uses entry exit criteria
s) Inspection
t) Peer review
u) Informal review
v) Walkthrough";"A. s = 4, t = 3, u = 2 and 5, v = 1";"B. s = 4 and 5, t = 3, u = 2, v = 1";"C. s = 1 and 5, t = 3, u = 2, v = 4";"D. s = 5, t = 4, u = 3, v = 1 and 2";2;
383;"Given the following:
Switch PC on
Start ""outlook""
IF outlook appears THEN
Send an email
Close outlook";"A. 1 test for statement coverage, 1 for branch coverage";"B. 1 test for statement coverage, 2 for branch coverage";"C. 1 test for statement coverage. 3 for branch coverage";"D. 2 tests for statement coverage, 2 for branch coverage";2;
384;"Test managers should not:";"A. Report on deviations from the project plan";"B. Sign the system off for release";"C. Re-allocate resource to meet original plans";"D. Rise incidents on faults that they have found";3;
385;"Which of the following is NOT part of system testing:";"A. Business process-based testing";"B. Performance, load and stress testing";"C. Requirements-based testing";"D. Top-down integration testing";4;
386;"When a new testing tool is purchased, it should be used first by:";"A. A small team to establish the best way to use the tool";"B. Everyone who may eventually have some use for the tool";"C. The independent testing team";"D. The managers to see what projects it should be used in";1;
387;"Which of the following is not part of performance testing:";"A. Measuring response time";"B. Measuring transaction rates";"C. Recovery testing";"D. Simulating many users";3;
388;"What is the purpose of test completion criteria in a test plan:";"A. To know when a specific test has finished its execution";"B. To ensure that the test case specification is complete";"C. To set the criteria used in generating test inputs";"D. To plan when to stop testing";4;
389;"Given the following code, which is true:
IF A > B THEN
C = A ﾖ B
ELSE
C = A + B
ENDIF
Read D
IF C = D Then
Print ""Error""
ENDIF";"A. 1 test for statement coverage, 3 for branch coverage";"B. 2 tests for statement coverage, 2 for branch coverage";"C. 2 tests for statement coverage. 3 for branch coverage";"D. 3 tests for statement coverage, 3 for branch coverage";2;
390;"Unreachable code would best be found using:";"A. Code reviews";"B. Code inspections";"C. A coverage tool";"D. A test management tool";1;
391;"What information need not be included in a test incident report:";"A. How to fix the fault";"B. How to reproduce the fault";"C. Test environment details";"D. Severity, priority";1;
392;"Which of the following is NOT included in the Test Plan document of the Test 
Documentation Standard:";"A. Test items (i.e. software versions)";"B. What is not to be tested";"C. Test environments";"D. Quality plans";4;
393;"IEEE 829 test plan documentation standard contains all of the following except:";"A. Test items";"B. Test deliverables";"C. Test tasks";"D. Test specification";4;
394;"Which of the following is NOT a black box technique:";"A. Equivalence partitioning";"B. State transition testing";"C. LCSAJ";"D. Syntax testing.";3;
395;"Expected results are:";"A. Only important in system testing";"B. Only used in component testing";"C. Never specified in advance";"D. Most useful when specified in advance";4;
396;" Beta testing is";"A. Performed by customers at their own site";"B. Performed by customers at their software developerﾒs site";"C. Performed by an independent test team";"D. Useful to test bespoke software";1;
397;"Consider the following:

Pick up and read the newspaper
Look at what is on television
If there is a program that you are interested in watching then switch the the television on 
and watch the program
Otherwise
Continue reading the newspaper
If there is a crossword in the newspaper then try and complete the crossword";"A. SC = 1 and DC = 1";"
B. SC = 1 and DC = 2";"C. SC = 1 and DC = 3";"

D. SC = 2 and DC = 3 ";4;
398;"A typical commercial test execution tool would be able to perform all of the 
following EXCEPT:";"A. Generating expected outputs";"B. Replaying inputs according to a programmed script";"C. Comparison of expected outcomes with actual outcomes";"D. Recording test inputs";1;
399;"Consider the following statements about early test design:

i. Early test design can prevent fault multiplication
ii. Faults found during early test design are more expensive to fix
iii. Early test design can find faults
iv. Early test design can cause changes to the requirements
v. Early test design takes more effort";"A. i, iii and iv are true. ii and v are false";"B. iii and iv are true. i, ii and v are false";"C. i, iii, iv and v are true, ii us false";"D. i and iii are true, ii, iv and v are false";1;
400;"Given the following code, which is true about the minimum number of test 
cases required for full statement and branch coverage:

Read P
Read Q
IF P+Q > 100 THEN
Print ""Large""
ENDIF
If P > 50 THEN
Print ""P Large""
ENDIF";"A. 1 test for statement coverage, 3 for branch coverage";"B. 1 test for statement coverage, 2 for branch coverage";"C. 2 tests for statement coverage, 3 for branch coverage";"D. 2 tests for statement coverage, 2 for branch coverage";2;
401;"The place to start if you want a (new) test tool is:";"A. Attend a tool exhibition";"B. Invite a vendor to give a demo";"C. Analyse your needs and requirements";"D. Find out what your budget would be for the tool";3;
402;"Error guessing is best used";"A. As the first approach to deriving test cases";"B. After more formal techniques have been applied";"C. By inexperienced testers";"D. After the system has gone live";2;
403;"Exit Criteria may consist of:

i. Thoroughness measures, such as coverage of code, functionality or risk
ii. Estimates of Defect density or reliability measures.
iii. Residual risk such as defects not fixed or lack of test coverage in certain areas
iv. Verifying the Test Environment.";"A. iv is correct and i,ii,iii are incorrect.";"B. i,ii,iii is correct and iv is incorrect";"C. ii is correct and i,ii,iii are incorrect";"D. iii and iv are correct and i,ii are incorrect";2;
404;"One of the fields on a form contains a text box, which accepts alphabets in 
lower or upper case. Identify the invalid Equivalance class value.";"A. CLASS";"B. cLASS";"C. Class";"D. CLa01ss";4;
405;"The Kick Off phase of a formal review includes the following:";"A. Explaining the objective";"B. Fixing defects found typically done by author";"C. Follow up";"D. Individual Meeting preparations";1;
406;"Peer Reviews are also called as :";"A. Inspection";"B. Fixing defects found typically done by author";"C. Follow up";"D. Individual Meeting preparations";3;
407;"Validation involves which of the following

i. Helps to check the Quality of the Built Product
ii. Helps to check that we have built the right product.
iii. Helps in developing the product
iv. Monitoring tool wastage and obsoleteness.";"A. Options i,ii,iii,iv are true.";"B. ii is true and i,iii,iv are false";"C. i,ii,iii are true and iv is false";"D. iii is true and i,ii,iv are false.";2;
408;"Success Factors for a review include:

i. Each Review does not have a predefined objective
ii. Defects found are welcomed and expressed objectively
iii. Management supports a good review process.
iv. There is an emphasis on learning and process improvement.";"A. ii,iii,iv are correct and i is incorrect";"B. iii , i , iv is correct and ii is incorrect";"C. i , iii , iv , ii is in correct";"D. ii is correct";1;
409;"Which of the following helps in monitoring the Test Progress:

i. Percentage of Test Case Execution
ii. Percentage of work done in test environment preparation.
iii. Defect Information e.g. defect density, defects found and fixed
iv. The size of the testing Team and skills of the engineers";"A. iv is correct and i,ii,iii are incorrect";"B. i,ii,iii are correct and iv is incorrect";"C. i,ii are correct and iii,iv are incorrect";"D. i,iv are correct and ii , iii are incorrect";2;
410;"Defects discovered by static analysis tools include:

i. Variables that are never used.
ii. Security vulnerabilities.
iii. Programming Standard Violations
iv. Uncalled functions and procedures";"A. i , ii,iii,iv is correct";"B. iii ,is correct I,ii,iv are incorrect.";"C. i ,ii, iii and iv are incorrect";"D. iv, ii is correct";1;
411;"Which of the following is true about White and Black Box Testing Technique:-";"A. Equivalence partitioning, Decision Table and Control flow are White box Testing
Techniques.";"B. Equivalence partitioning, Boundary Value Analysis , Data Flow are Black Box Testing
Techniques.";"C. Equivalence partitioning , State Transition , Use Case Testing are black box Testing
Techniques.";"D. Equivalence Partitioning, State Transition, Use Case Testing and Decision Table are
White Box Testing Techniques.";3;
412;"Which of the following techniques is NOT a black box technique?";"A. State transition testing";"B. LCSAJ (Linear Code Sequence and Jump)";"C. Syntax testing";"D. Boundary value analysis";2;
413;"Features of White Box Testing Technique:

i. We use explicit knowledge of the internal workings of the item being tested to select the
test data.
ii. Uses specific knowledge of programming code to examine outputs and assumes that the
tester knows the path of logic in a unit or a program.
iii. Checking for the performance of the application
iv. Also checks for functionality.";"A. i, ii are true and iii and iv are false";"B. iii is true and i,ii, iv are false";"C. ii ,iii is true and i,iv is false";"D. iii and iv are true and i,ii are false";1;
414;"The Provision and Management of a controlled library containing all the
configurations items is called as";"A. Configuration Control";"B. Status Accounting";"C. Configuration Identification";"D. Configuration Control";1;
415;"The selection of a test approach should consider the context:

i. Risk of Failure of the Project, hazards to the product and risks of product failure to
humans
ii. Skills and experience of the people in the proposed technique, tools and methods
iii. The objective of the testing endeavor and the mission of the testing team.
iv. The size of the testing Team";"A. i,ii,iii,iv are true";"B. i,ii,iii are true and iv is false.";"C. ii,iii,iv are true and i is false.";"D. i,iv are true and ii, iii are false.";2;
416;"Benefits of Independent Testing";"A. Independent testers are much more qualified than Developers";"B. Independent testers see other and different defects and are unbiased.";"C. Independent Testers cannot identify defects.";"D. Independent Testers can test better than developers";2;
417;"Minimum Test Required for Statement Coverage:

Disc = 0
Order-qty = 0
Read Order-qty
If Order-qty >=20 then
Disc = 0.05
If Order-qty >=100 then
Disc =0.1
End if
End if";"A. Statement coverage is 4";"B. Statement coverage is 1";"C. Statement coverage is 3";"D. Statement Coverage is 2";2;
418;"Test Conditions are derived from:";"A. Specifications";"B. Test Cases";"C. Test Data";"D. Test Design";1;
419;"Which of the following is the task of a Test Lead / Leader.

i. Interaction with the Test Tool Vendor to identify best ways to leverage test tool on the
project.
ii. Write Test Summary Reports based on the information gathered during testing
iii. Decide what should be automated , to what degree and how.
iv. Create the Test Specifications";"A. i, ii, iii is true and iv is false";"B. ii,iii,iv is true and i is false";"C. i is true and ii,iii,iv are false";"D. iii and iv is correct and i and ii are incorrect";1;
420;"Impact Analysis helps to decide:";"A. How much regression testing should be done.";"B. Exit Criteria";"C. How many more test cases need to written.";"D. Different Tools to perform Regression Testing";1;
421;"Drivers are also known as:

i. Spade
ii. Test harness
iii. Scaffolding";"A. i , ii are true and iii is false";"B. i , iii are true and ii is false";"C. ii , iii are true and i is false";"D. All of the above are true";3;
422;"Which of the following is not a type of incremental testing approach?";"A. Top down";"B. Big-bang";"C. Bottom up";"D. Functional incrementation.";2;
423;"In a system designed to work out the tax to be paid:

An employee has ﾣ4000 of salary tax free. The next ﾣ1500 is taxed at 10% The next ﾣ28000
is taxed at 22% Any further amount is taxed at 40% Which of these groups of numbers would
fall into the same equivalence class?";"A. ﾣ4800; ﾣ14000; ﾣ28000";"B. ﾣ5200; ﾣ5500; ﾣ28000";"C. ﾣ28001; ﾣ32000; ﾣ35000";"D. ﾣ5800; ﾣ28000; ﾣ32000";4;
424;"In case of Large Systems :";"A. Only few tests should be run";"B. Testing should be on the basis of Risk";"C. Only Good Test Cases should be executed.";"D. Test Cases written by good test engineers should be executed.";2;
425;"Which of the following is not phase of the Fundamental Test Process?";"A. Test Planning and Control";"B. Test implementation and Execution";"C. Requirement Analysis";"D. Evaluating Exit criteria and reporting";3;
426;"The structure of an incident report is covered in the Standard for Software Test
Documentation IEEE 829 and is called as:";"A. Anomaly Report";"B. Defect Report";"C. Test Defect Report";"D. Test Incident Report";1;
427;"285: Repeated Testing of an already tested program, after modification, to discover
any defects introduced or uncovered as a result of the changes in the software being
tested or in another related or unrelated software component:";"A. Re Testing";"B. Confirmation Testing";"C. Regression Testing";"D. Negative Testing";3;
428;"We use the output of the requirement analysis, the requirement specification
as the input for writing:";"A. User Acceptance Test Cases";"B. Integration Level Test Cases";"C. Unit Level Test Cases";"D. Program specifications";1;
429;"Regression testing should be performed:
i. Every week
ii. After the software has changed
iii. As often as possible
iv. When the environment has changed
v. When the project manager says";"A. i & ii are true, iii, iv & v are false";"B. ii, iii & iv are true, i & v are false";"C. ii & iv are true, i, iii & v are false";"D. ii is true, i, iii, iv & v are false";3;
430;"Evaluating testability of the requirements and system are a part of which
phase:-";"A. Test Analysis and Design";"B. Test Planning and control";"C. Test Implementation and execution";"D. Evaluating exit criteria and reporting";1;
